Timestamp,Event
2026-07-15 21:54:20,Face Detected
2026-07-15 21:54:20,AttentionState.ATTENTIVE
2026-07-15 21:54:34,Drowsiness Alert
2026-07-15 21:54:38,Drowsiness Cleared
2026-07-15 21:54:49,AttentionState.HEAD_TURNED
2026-07-15 21:54:49,Face Lost
2026-07-15 21:54:53,Face Detected
2026-07-15 21:54:53,AttentionState.ATTENTIVE
2026-07-15 21:55:00,AttentionState.HEAD_TURNED
2026-07-15 21:55:06,AttentionState.LOOKING_RIGHT
2026-07-15 21:55:06,AttentionState.ATTENTIVE
2026-07-15 21:55:10,AttentionState.HEAD_TURNED
2026-07-15 21:55:13,AttentionState.LOOKING_LEFT
2026-07-15 21:55:13,AttentionState.ATTENTIVE
2026-07-15 21:55:18,AttentionState.LOOKING_LEFT
2026-07-15 21:55:20,AttentionState.ATTENTIVE
2026-07-15 21:55:25,AttentionState.LOOKING_RIGHT
2026-07-15 21:55:25,AttentionState.ATTENTIVE
2026-07-15 21:55:26,AttentionState.LOOKING_RIGHT
2026-07-15 21:55:26,AttentionState.ATTENTIVE
2026-07-15 21:55:32,AttentionState.LOOKING_RIGHT
2026-07-15 21:55:33,AttentionState.ATTENTIVE
2026-07-15 21:55:33,AttentionState.LOOKING_RIGHT
2026-07-15 21:55:34,AttentionState.ATTENTIVE
2026-07-15 21:55:40,AttentionState.LOOKING_RIGHT
2026-07-15 21:55:40,AttentionState.ATTENTIVE
2026-07-15 21:55:52,AttentionState.LOOKING_RIGHT
2026-07-15 21:55:54,AttentionState.ATTENTIVE
2026-07-15 21:56:05,Face Lost
2026-07-15 21:56:11,Face Detected
2026-07-15 21:56:17,Drowsiness Alert
2026-07-15 21:56:20,Drowsiness Cleared
2026-07-15 21:56:26,Drowsiness Alert
2026-07-15 21:56:29,Drowsiness Cleared
